track,subset,low_80_200_db,lowmid_200_800_db,mid_0p8_3k_db,high_3_8k_db,tilt_db_per_decade,rms_delta_db,lag_ms
04_SS2-88-F_solo,solo,6.694,-2.493,1.521,6.723,6.527,8.22,15.42
04_SS3-84-Bb_comp,comp,1.41,-2.71,0.774,7.684,9.168,8.697,45.351
04_SS3-84-Bb_solo,solo,12.766,-3.582,0.86,6.308,6.467,8.331,4.649
04_SS3-98-C_comp,comp,1.552,-3.341,1.352,8.864,10.681,9.842,13.605
04_SS3-98-C_solo,solo,10.998,-3.897,1.169,7.418,7.832,8.559,10.431
05_BN1-129-Eb_comp,comp,0.01,-4.626,1.324,4.547,5.748,5.554,5.329
05_BN1-129-Eb_solo,solo,7.252,-5.429,1.031,5.587,7.915,8.164,9.637
05_BN1-147-Gb_comp,comp,-1.019,-4.405,1.015,3.963,5.512,5.654,5.102
05_BN1-147-Gb_solo,solo,10.728,-3.317,1.773,7.481,7.765,8.797,-31.406
05_BN2-131-B_comp,comp,-1.129,-4.645,1.188,5.613,7.496,6.31,5.329
05_BN2-131-B_solo,solo,8.893,-3.858,0.525,5.498,6.014,7.607,9.751
05_BN2-166-Ab_comp,comp,-0.584,-3.318,0.897,6.152,7.723,6.337,5.329
05_BN2-166-Ab_solo,solo,8.166,-3.914,0.405,5.242,5.819,7.208,6.689
05_BN3-119-G_comp,comp,-1.065,-3.667,1.016,5.719,7.165,6.308,5.329
05_BN3-119-G_solo,solo,9.869,-3.524,1.595,5.874,5.464,7.339,9.637
05_BN3-154-E_comp,comp,-1.289,-4.696,1.001,5.068,7.096,5.422,5.896
05_BN3-154-E_solo,solo,8.463,-6.003,0.62,5.115,7.071,7.434,9.297
05_Funk1-114-Ab_comp,comp,11.181,-1.542,0.534,6.673,6.492,7.869,14.853
05_Funk1-114-Ab_solo,solo,3.425,-4.302,0.961,5.269,6.004,6.932,7.143
05_Funk1-97-C_comp,comp,6.188,-1.837,0.445,6.138,6.763,7.107,10.317
05_Funk1-97-C_solo,solo,11.657,-3.362,0.793,6.123,6.41,7.591,3.401
05_Funk2-108-Eb_comp,comp,4.555,-2.857,1.027,6.916,7.863,7.61,5.442
05_Funk2-108-Eb_solo,solo,6.633,-3.3,0.274,4.914,6.943,7.117,7.596
05_Funk2-119-G_comp,comp,13.917,-1.988,1.254,7.334,6.804,8.413,10.204
05_Funk2-119-G_solo,solo,3.828,-3.974,0.927,6.265,8.025,7.942,5.896
05_Funk3-112-C#_comp,comp,9.433,-2.272,0.995,7.802,7.699,8.82,5.102
05_Funk3-112-C#_solo,solo,10.744,-5.543,1.06,5.352,7.211,7.523,9.524
05_Funk3-98-A_comp,comp,6.6,-3.254,1.033,6.99,8.161,7.698,24.036
05_Funk3-98-A_solo,solo,4.811,-5.371,1.004,4.534,6.841,6.59,7.029
05_Jazz1-130-D_comp,comp,4.966,-1.761,1.62,8.04,8.46,9.284,4.875
05_Jazz1-130-D_solo,solo,7.552,-4.003,1.928,5.168,4.673,7.858,4.535
05_Jazz1-200-B_comp,comp,3.939,-2.035,1.289,5.903,6.163,6.605,5.782
05_Jazz1-200-B_solo,solo,3.705,-5.845,0.502,2.783,5.201,6.345,9.297
05_Jazz2-110-Bb_comp,comp,2.608,-2.532,1.18,5.584,6.316,6.724,5.442
05_Jazz2-110-Bb_solo,solo,10.367,-3.384,0.87,4.657,4.44,6.273,19.388
05_Jazz2-187-F#_comp,comp,4.859,-2.747,1.611,6.655,7.402,7.291,5.329
05_Jazz2-187-F#_solo,solo,4.45,-3.58,1.198,6.109,7.154,7.083,5.215
05_Jazz3-137-Eb_comp,comp,5.238,-1.966,0.647,5.853,6.147,6.882,5.329
05_Jazz3-137-Eb_solo,solo,3.812,-4.816,0.998,5.345,6.745,7.22,9.977
05_Jazz3-150-C_comp,comp,6.268,-3.372,0.646,5.815,6.894,7.208,5.669
05_Jazz3-150-C_solo,solo,6.315,-2.567,0.76,5.047,5.392,7.028,19.501
05_Rock1-130-A_comp,comp,2.666,-2.85,1.015,6.063,7.554,7.754,5.896
05_Rock1-130-A_solo,solo,5.59,-4.521,0.991,5.81,7.376,7.416,14.853
05_Rock1-90-C#_comp,comp,2.977,-1.527,1.596,7.142,8.348,8.451,5.442
05_Rock1-90-C#_solo,solo,2.223,-4.414,0.894,5.111,6.575,6.868,-1.02
05_Rock2-142-D_comp,comp,2.383,-2.415,1.352,6.06,7.042,7.048,5.669
05_Rock2-142-D_solo,solo,1.708,-4.747,0.871,6.478,9.253,8.246,9.977
05_Rock2-85-F_comp,comp,1.787,-2.3,1.193,5.629,6.724,6.599,5.896
05_Rock2-85-F_solo,solo,3.558,-4.407,0.497,4.973,7.22,7.203,5.329
05_Rock3-117-Bb_comp,comp,3.228,-1.67,0.591,7.275,8.17,8.361,5.896
05_Rock3-117-Bb_solo,solo,7.248,-3.842,0.279,3.893,5.489,6.313,3.515
05_Rock3-148-C_comp,comp,21.588,-1.729,1.356,5.946,3.672,8.817,6.916
05_Rock3-148-C_solo,solo,13.563,-3.296,1.082,5.288,4.26,7.924,9.637
05_SS1-100-C#_comp,comp,-1.427,-3.913,1.28,6.693,7.72,7.221,5.442
05_SS1-100-C#_solo,solo,1.824,-2.449,1.772,4.847,5.068,6.554,5.215
05_SS1-68-E_comp,comp,1.673,-4.644,1.471,4.195,4.84,5.531,23.129
05_SS1-68-E_solo,solo,1.85,-4.09,0.318,5.114,6.855,6.835,9.864
05_SS2-107-Ab_comp,comp,-0.705,-4.227,1.517,6.159,8.104,6.569,5.442
05_SS2-107-Ab_solo,solo,2.143,-3.813,0.912,6.706,7.946,7.401,19.501
05_SS2-88-F_comp,comp,-4.663,-4.348,1.165,3.297,4.423,5.156,5.442
05_SS2-88-F_solo,solo,4.722,-4.353,0.47,5.6,7.653,7.217,9.864
05_SS3-84-Bb_comp,comp,-1.669,-3.7,0.992,5.108,6.823,5.923,5.215
05_SS3-84-Bb_solo,solo,5.928,-2.577,0.9,7.18,7.896,8.242,9.977
05_SS3-98-C_comp,comp,-1.145,-3.591,1.463,3.765,4.47,5.428,5.556
05_SS3-98-C_solo,solo,5.641,-3.64,0.873,7.049,8.009,7.998,9.977
